;;;;
0;0.00;0.00;0.00;0.00
1;1.19;103.99;13.66;1420.17
2;2.64;231.11;109.25;25249.15
3;4.11;359.99;368.73;132740.40
4;5.48;479.70;874.03;419273.93
5;6.64;581.74;1707.09;993088.69
6;7.53;659.79;2949.85;1946272.50
7;8.10;709.90;4684.25;3325348.14
8;8.34;730.71;6992.24;5109270.76
9;8.26;723.31;9955.74;7201115.85
10;7.89;690.97;13656.71;9436401.63
11;7.29;638.54;18177.08;11606758.60
12;6.53;571.80;23598.80;13493750.12
13;5.67;496.78;30003.79;14905185.82
14;4.78;419.11;37474.01;15705911.58
15;3.92;343.60;46091.40;15836799.50
16;3.13;273.85;55937.89;15318869.26
17;2.42;212.28;67095.42;14243138.51
18;1.83;160.08;79645.94;12749891.74
19;1.34;117.46;93671.38;11002832.64
20;0.96;83.88;109253.68;9163787.13
21;0.67;58.29;126474.80;7372471.75
22;0.45;39.43;145416.65;5733888.99
23;0.30;25.96;166161.20;4313809.81
24;0.19;16.64;188790.37;3141103.24
25;0.12;10.38;213386.10;2214678.67
26;0.07;6.30;240030.35;1512565.12
27;0.04;3.72;268805.03;1001000.71
28;0.02;2.14;299792.11;642084.50
29;0.01;1.20;333073.52;399291.15
30;0.01;0.65;368731.19;240776.11
;;;2952922.25;189188776.15
;;;;189
